Record Length,Analog:7000,
Sample Interval,Analog:1.000000E-05,
Vertical Units,CH1:V, CH3:V, CH4:V,,
Vertical Scale,CH1:+2.000000E+00, CH3:+2.000000E+00, CH4:+5.000000E-01,,
Vertical Offset,CH1:-6.600000E+00, CH3:-6.160000E+00, CH4:-1.278000E+01,,
Horizontal Units,us,
Horizontal Scale,+5.000000E+03,
Model Number,SDS1104X-E,
Serial Number,SDSMMGKD7R7907,
Software Version,8.3.6.1.37R10,
Source,CH1,CH3,CH4
Second,Value,Value,Value
+4.374400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.374500E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.374600E-01,+6.799998E-01,+1.248000E+01,+1.052000E+01
+4.374700E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.374800E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.374900E-01,+1.320000E+00,+1.272000E+01,+1.052000E+01
+4.375000E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.375100E-01,+1.240000E+00,+1.272000E+01,+1.052000E+01
+4.375200E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.375300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.375400E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.375500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.375600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.375700E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.375800E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.375900E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.376000E-01,+1.000000E+00,+1.256000E+01,+1.052000E+01
+4.376100E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.376200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.376300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.376400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.376500E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.376600E-01,+7.600002E-01,+1.232000E+01,+1.052000E+01
+4.376700E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.376800E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.376900E-01,+1.080000E+00,+1.280000E+01,+1.052000E+01
+4.377000E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.377100E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.377200E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.377300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.377400E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.377500E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.377600E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.377700E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.377800E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.377900E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.378000E-01,+1.240000E+00,+1.264000E+01,+1.052000E+01
+4.378100E-01,+8.920000E+00,+1.264000E+01,+1.052000E+01
+4.378200E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.378300E-01,+1.212000E+01,+1.280000E+01,+1.052000E+01
+4.378400E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.378500E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.378600E-01,+1.204000E+01,+1.248000E+01,+1.052000E+01
+4.378700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.378800E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.378900E-01,+6.120000E+00,+1.264000E+01,+1.052000E+01
+4.379000E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.379100E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.379200E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.379300E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.379400E-01,+3.080000E+00,+1.264000E+01,+1.052000E+01
+4.379500E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.379600E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.379700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.379800E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.379900E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.380000E-01,+1.240000E+00,+1.264000E+01,+1.052000E+01
+4.380100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.380200E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.380300E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.380400E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.380500E-01,+1.156000E+01,+1.264000E+01,+1.052000E+01
+4.380600E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.380700E-01,+1.196000E+01,+1.264000E+01,+1.052000E+01
+4.380800E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.380900E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.381000E-01,+3.960000E+00,+1.272000E+01,+1.052000E+01
+4.381100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.381200E-01,+1.240000E+00,+1.280000E+01,+1.052000E+01
+4.381300E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.381400E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.381500E-01,+5.560000E+00,+1.272000E+01,+1.052000E+01
+4.381600E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.381700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.381800E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.381900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.382000E-01,+1.012000E+01,+1.264000E+01,+1.052000E+01
+4.382100E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.382200E-01,+1.160000E+00,+1.272000E+01,+1.052000E+01
+4.382300E-01,+1.080000E+00,+1.256000E+01,+1.052000E+01
+4.382400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.382500E-01,+1.160000E+00,+1.264000E+01,+1.052000E+01
+4.382600E-01,+1.220000E+01,+1.288000E+01,+1.052000E+01
+4.382700E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.382800E-01,+1.212000E+01,+1.272000E+01,+1.052000E+01
+4.382900E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.383000E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.383100E-01,+2.200000E+00,+1.272000E+01,+1.052000E+01
+4.383200E-01,+1.000000E+00,+1.264000E+01,+1.052000E+01
+4.383300E-01,+1.080000E+00,+1.272000E+01,+1.052000E+01
+4.383400E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.383500E-01,+1.080000E+00,+1.264000E+01,+1.052000E+01
+4.383600E-01,+8.040000E+00,+1.272000E+01,+1.052000E+01
+4.383700E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.383800E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.383900E-01,+1.204000E+01,+1.264000E+01,+1.052000E+01
+4.384000E-01,+1.204000E+01,+1.272000E+01,+1.052000E+01
+4.384100E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.384200E-01,+1.212000E+01,+1.264000E+01,+1.052000E+01
+4.384300E-01,+1.960000E+00,+1.272000E+01,+1.052000E+01
